price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
₹ 1.50 Cr,15000000,"3 BHK Flat for Sale in Wakad, Pune",3,Carpet Area 790 sqft,790,Wakad,Pune,https://www.magicbricks.com/sanskriti-wakad-pune-pdpid-4d4235303034333036
₹ 1.84 Cr,18400000,"3 BHK Flat for Sale in Baner, Pune",3,Carpet Area 1336 sqft,1336,Baner,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Baner-in-Pune&id=4d423830393639363231
₹ 1.10 Cr,11000000,"3 BHK Flat for Sale in Ravet, Pimpri Chinchwad, Pune",3,Carpet Area 1047 sqft,1047,Ravet,Pune,https://www.magicbricks.com/pharande-felicity-ravet-pune-pdpid-4d4235313236383033
₹ 36 Lac,3600000,"1 BHK Flat for Sale in Ambegaon, Pune",1,Carpet Area 500 sqft,500,Ambegaon,Pune,https://www.magicbricks.com/shree-dattayog-residency-ambegaon-pune-pdpid-4d4235303838393133
₹ 25 Lac,2500000,"2 BHK Flat for Sale in Bakori, Pune",2,Carpet Area 600 sqft,600,Bakori,Pune,https://www.magicbricks.com/pristine-city-bef-bakori-pune-pdpid-4d4235333530303435
₹ 55 Lac,5500000,"1 BHK Flat for Sale in Sangvi, Pimpri Chinchwad, Pune",1,Super Area 550 sqft,550,Sangvi,Pune,https://www.magicbricks.com/ashiyana-heights-sangvi-pune-pdpid-4d4235333633373431
₹ 3 Cr,30000000,"3 BHK Flat for Sale in Dattawadi, Pune",3,Carpet Area 1526 sqft,1526,Dattawadi,Pune,https://www.magicbricks.com/rohan-kritika-dattawadi-pune-pdpid-4d4235303237313838
₹ 26 Lac,2600000,"1 BHK Flat for Sale in Kolhewadi, Khadakwasla, Pune",1,Carpet Area 553 sqft,553,Kolhewadi,Pune,https://www.magicbricks.com/sushila-park-kolhewadi-pune-pdpid-4d4235303835343337
₹ 54 Lac,5400000,"1 BHK Flat for Sale in Hinjawadi, Pune",1,Carpet Area 454 sqft,454,Hinjawadi,Pune,https://www.magicbricks.com/saheel-itrend-homes-hinjewadi-pune-pdpid-4d4235303933323633
₹ 58 Lac,5800000,"2 BHK Flat for Sale in Ambegaon, Pune",2,Carpet Area 680 sqft,680,Ambegaon,Pune,https://www.magicbricks.com/kalpak-shrushti-ambegaon-pune-pdpid-4d4235303333363636
